latitude,longitude,name,comments,rating,cp
19.4735618,-99.1543104,Oxxo,23,3.2,11350
19.4357407,-99.1830782,Oxxo,8,3.4,11350
19.457536,-99.1922432,Oxxo,3,4.3,11350
19.4752154,-99.175162,Oxxo Granjas,19,3.7,11350
19.4216495,-99.1650715,Oxxo,17,2.6,11350
19.4700294,-99.1700537,Oxxo,77,4.0,11350
19.4367136,-99.1568131,OXXO Tabacalera,25,3.1,11350
19.4288221,-99.1684585,Oxxo Rio Tíber,22,2.4,11350
19.4790693,-99.1575883,Oxxo,34,3.7,11350
19.4724222,-99.1418049,Oxxo Defensores,15,3.5,11350
19.4290366,-99.170579,OXXO Guadalquivir,14,2.9,11350
19.4331845,-99.1554455,Oxxo,187,3.7,11350
19.4715908,-99.1562837,Oxxo,188,4.3,11350
19.4186088,-99.1383584,Oxxo Otomíes,10,3.3,11350
19.4544886,-99.2203227,Oxxo Oro,6,3.2,11350
19.4832065,-99.2175608,OXXO Xalpa,88,3.4,11350
19.4412245,-99.1548147,Oxxo Ferrocarrileros,78,4.0,11350
19.427843,-99.2101404,Oxxo,7,3.4,11350
19.4467861,-99.2158821,Oxxo Lomas de Sotelo,25,3.2,11350
19.4978266,-99.1988024,Oxxo Tierra Nueva,33,4.1,11350
19.4068315,-99.1726587,Oxxo,39,4.0,11350
19.4140468,-99.179986,Oxxo,10,4.2,11350
19.5026042,-99.1764208,Oxxo Tecnoparque,88,4.3,11350
19.4445676,-99.1676939,OXXO Tlaxpana,8,3.5,11360
19.445691,-99.167022,OXXO Maestros,13,2.9,11360
19.4498118,-99.164592,OXXO,17,2.8,11360
19.4560789,-99.1662275,Oxxo,30,3.2,11360
19.4362459,-99.1748294,Oxxo,8,3.9,11360
19.4539135,-99.1766281,OXXO MEXICO TACUBA,18,3.7,11360
19.4445208,-99.1789268,Oxxo Lago Texcoco,5,3.4,11360
19.4432774,-99.164563,OXXO San Cosme,137,3.9,11360
19.4425001,-99.1742479,OXXO,9,3.1,11360
19.4628973,-99.1713479,OXXO,13,2.3,11360
19.4602699,-99.1657692,Oxxo,392,3.9,11360
19.4407421,-99.166367,OXXO,14,4.0,11360
19.4619655,-99.1758566,OXXO Biólogo,15,3.9,11360
19.4375525,-99.1771405,Oxxo Bahía de Ballenas,23,3.7,11360
19.4581385,-99.179526,OXXO Mar Egeo,15,1.9,11360
19.447683,-99.1624357,Oxxo Cedro,10,3.3,11360
19.4700294,-99.1700537,Oxxo,77,4.0,11360
19.4582188,-99.1842213,Oxxo Golfo de California,70,4.1,11360
